Sample	Day	IVC	Embryo	Batch	Day_Emb	Lineage	Sex
Tri_hv_D10_IVC5_E1_B1_78	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_79	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_80	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_81	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_82	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_83	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_84	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_86	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_87	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_88	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_89	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_90	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_91	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_92	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_93	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_94	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_95	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_96	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_1	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_2	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_3	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_4	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_8	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_9	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_10	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_13	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_15	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_17	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_18	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_19	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_20	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_21	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_22	D10	IVC5	E1	B2	D10_E1	PE	Female
Tri_hv_D10_IVC5_E1_B2_23	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_24	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_25	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_26	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_27	D10	IVC5	E1	B2	D10_E1	PE	Female
Tri_hv_D10_IVC5_E1_B2_28	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_29	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_30	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_31	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_32	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_33	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_35	D10	IVC5	E1	B2	D10_E1	PE	Female
Tri_hv_D10_IVC5_E1_B2_36	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_37	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_38	D10	IVC5	E1	B2	D10_E1	PE	Female
Tri_hv_D10_IVC5_E1_B2_39	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_40	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_41	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_42	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_43	D10	IVC5	E1	B2	D10_E1	PE	Female
Tri_hv_D10_IVC5_E1_B2_44	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_45	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_46	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_47	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_48	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_49	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_50	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_51	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_53	D10	IVC5	E1	B2	D10_E1	PE	Female
Tri_hv_D10_IVC5_E1_B2_54	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_55	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_56	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_57	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_58	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_59	D10	IVC5	E1	B2	D10_E1	PE	Female
Tri_hv_D10_IVC5_E1_B2_60	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_61	D10	IVC5	E1	B2	D10_E1	PE	Female
Tri_hv_D10_IVC5_E1_B2_62	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_63	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_64	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_65	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_66	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_67	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_68	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_69	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_70	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_71	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_72	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_74	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_75	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_76	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_77	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_78	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_79	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_80	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_81	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_82	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_83	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_84	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_85	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_86	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_87	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_88	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_89	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_90	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_91	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_92	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_94	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_95	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B2_96	D10	IVC5	E1	B2	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_2	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_3	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_4	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_5	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_6	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_13	D10	IVC5	E1	B3	D10_E1	PE	Female
Tri_hv_D10_IVC5_E1_B3_14	D10	IVC5	E1	B3	D10_E1	PE	Female
Tri_hv_D10_IVC5_E1_B3_15	D10	IVC5	E1	B3	D10_E1	PE	Female
Tri_hv_D10_IVC5_E1_B3_16	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_17	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_18	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_19	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_20	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_22	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_24	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_25	D10	IVC5	E1	B3	D10_E1	PE	Female
Tri_hv_D10_IVC5_E1_B3_32	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_33	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_36	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_37	D10	IVC5	E1	B3	D10_E1	PE	Female
Tri_hv_D10_IVC5_E1_B3_38	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_39	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_40	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_41	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_42	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_43	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_45	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_47	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_48	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_49	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_50	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_52	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_54	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_55	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_57	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_60	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_61	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_62	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_63	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_64	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_65	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_66	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_67	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_69	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_70	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_71	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_72	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_73	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_76	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_77	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_78	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_81	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_84	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_86	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_89	D10	IVC5	E1	B3	D10_E1	PE	Female
Tri_hv_D10_IVC5_E1_B3_90	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_94	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B3_95	D10	IVC5	E1	B3	D10_E1	TE	Female
Tri_hv_D10_IVC5_E2_B1_2	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_3	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_10	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_11	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_13	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_15	D10	IVC5	E2	B1	D10_E2	PE	Male
Tri_hv_D10_IVC5_E2_B1_16	D10	IVC5	E2	B1	D10_E2	PE	Male
Tri_hv_D10_IVC5_E2_B1_17	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_22	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_25	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_26	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_27	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_28	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_29	D10	IVC5	E2	B1	D10_E2	PE	Male
Tri_hv_D10_IVC5_E2_B1_30	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_32	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_33	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_34	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_35	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_41	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_42	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_43	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_50	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_53	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_54	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_55	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_56	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_58	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_59	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_61	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_65	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_66	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_67	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_74	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_75	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_76	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_77	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_79	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_90	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_91	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_92	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E2_B1_95	D10	IVC5	E2	B1	D10_E2	TE	Male
Tri_hv_D10_IVC5_E3_B3_1	D10	IVC5	E3	B3	D10_E3	TE	Female
Tri_hv_D10_IVC5_E3_B3_2	D10	IVC5	E3	B3	D10_E3	TE	Female
Tri_hv_D10_IVC5_E3_B3_3	D10	IVC5	E3	B3	D10_E3	TE	Female
Tri_hv_D10_IVC5_E3_B3_4	D10	IVC5	E3	B3	D10_E3	TE	Female
Tri_hv_D10_IVC5_E3_B3_5	D10	IVC5	E3	B3	D10_E3	TE	Female
Tri_hv_D10_IVC5_E3_B3_6	D10	IVC5	E3	B3	D10_E3	TE	Female
Tri_hv_D10_IVC5_E3_B3_7	D10	IVC5	E3	B3	D10_E3	TE	Female
Tri_hv_D10_IVC5_E3_B3_8	D10	IVC5	E3	B3	D10_E3	TE	Female
Tri_hv_D10_IVC5_E3_B3_9	D10	IVC5	E3	B3	D10_E3	TE	Female
